id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2712351695,15,1,1,0,11,59as3grjvj19voay31j3yfgni,0,27.9,27.9,2024-08-24T14:00:23.441Z,2024-08-24T14:14:06Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5167338349,141,27.9,5167338351,212,2.2,5167338343,140,30.0,5167338331,3,,5167338337,56,Back,5167338357,213,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347827,8,61,1,0,12,aljua8crr0vkwit0j3m59jw9j,1,65.7,65.1,2024-08-24T14:00:24.278Z,2024-08-24T14:00:24Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5167319611,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712347995,9,1,1,0,15,aljua8crr0vkwit0j3m59jw9j,0,59.5,98.7,2024-08-24T14:00:26.612Z,2024-08-24T14:00:29Z,5q4p56lg1vjsqo824aql0e1d6,D. Wilkins,,,5167320297,140,88.6,5167320293,157,,5167320299,141,83.0,5167320305,1,,5167320301,212,32.4,5167320295,56,Left,5167320303,213,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712376297,107,12,1,0,17,59as3grjvj19voay31j3yfgni,1,8.4,11.9,2024-08-24T14:00:29.230Z,2024-08-24T14:14:03Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5167467081,212,9.5,5167467083,213,5.14,5167467075,56,Back,5167467269,167,,5167467077,140,12.1,5167467079,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712348389,3,5,1,0,19,59as3grjvj19voay31j3yfgni,0,20.6,-1.4,2024-08-24T14:00:31.492Z,2024-08-24T14:25:26Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5167322079,347,,5167322077,56,Back,5167584537,233,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712348777,10,5,1,0,19,aljua8crr0vkwit0j3m59jw9j,1,79.4,101.4,2024-08-24T14:00:31.492Z,2024-08-24T14:25:26Z,5q4p56lg1vjsqo824aql0e1d6,D. Wilkins,,,5167584519,233,3,5167324041,347,,5167324039,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712348911,11,1,1,0,46,aljua8crr0vkwit0j3m59jw9j,1,71.7,100.0,2024-08-24T14:00:57.780Z,2024-08-24T14:01:02Z,5q4p56lg1vjsqo824aql0e1d6,D. Wilkins,,,5167324695,212,32.6,5167324687,107,,5167324699,1,,5167324691,140,90.3,5167324697,213,5.35,5167324689,56,Center,5167324693,141,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712348941,12,44,1,0,48,aljua8crr0vkwit0j3m59jw9j,1,90.4,63.4,2024-08-24T14:01:00.509Z,2024-08-24T15:28:19Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5167862291,233,369,5167324865,56,Center,5167324867,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712449695,369,44,1,0,49,59as3grjvj19voay31j3yfgni,0,9.6,36.6,2024-08-24T14:01:00.510Z,2024-08-24T15:28:19Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5167862283,56,Back,5167862299,233,12,5167862287,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712348953,13,61,1,0,50,aljua8crr0vkwit0j3m59jw9j,1,90.3,62.4,2024-08-24T14:01:02.151Z,2024-08-24T17:40:54Z,6rd849oap6uh93wdwjk8590q1,M. Soulas,,,5167324921,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712348947,4,52,1,0,51,59as3grjvj19voay31j3yfgni,1,5.2,46.1,2024-08-24T14:01:03.257Z,2024-08-24T16:49:32Z,7yim2aepctujr2m4p20a97755,E. Ólafsson,,,5168690523,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712349063,5,1,1,0,53,59as3grjvj19voay31j3yfgni,0,14.4,44.6,2024-08-24T14:01:04.842Z,2024-08-24T14:01:16Z,7yim2aepctujr2m4p20a97755,E. Ólafsson,,,5167325449,1,,5167325431,56,Left,5167325467,287,,5167325445,213,0.73,5167325439,141,100.0,5167325443,212,58.3,5167325429,123,,5167325435,140,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712349245,6,5,1,0,58,59as3grjvj19voay31j3yfgni,0,56.6,101.2,2024-08-24T14:01:09.956Z,2024-08-24T14:58:13Z,7yim2aepctujr2m4p20a97755,E. Ólafsson,,,5167326359,56,Left,5167326361,347,,5167329099,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
