id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value
2803476523,1,34,16,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-04-19T22:14:11.093Z,2025-04-20T01:58:12Z,,,,5664956901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",5664956909,194,1j010cibh247p8kjchww6ny3u,5665088417,197,28468,5664956899,30,"isauuse3yqdwymvfne6ci385, 9ij293r1mbtygl6v3u2s43i3u, f2nxaemhqi8kbtbejnqekgd4a, 9x7teazvqgbnj3pnam6rf2xgp, 1j010cibh247p8kjchww6ny3u, b32tamno8dpk5te2oq7d9a6t, ewibb8s7p2l6f5sekvkqu4a5m, a8ngovgs2qfu5udzb97kelg16, 6d45ccicyo6dregi9cm4ad4kq, 5gc4aouty93b7kbin9cpgrdre, djz5cm1g7ouen2y4o7w35jbl6, 19addig7dyotjybbwgbjkft2h, 6hdas9nshfgbjhj91y3ob8b11, b0zo05bu61v32nw35mriue0yy, 8bwjj53jwbsi0emx370uka5g4, 2ozy3ijlcknjqk0omzwd58x2i, 2m28wyud6xi78nt8e92p9keay, 1vnfc466lc01fdfhyvzt8fhii",5664956907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5664956905,130,8,5664956911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664956903,59,"1, 15, 22, 6, 2, 5, 7, 8, 20, 21, 31, 17, 13, 14, 18, 4, 11, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803482589,1,34,16,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-04-19T22:26:57.150Z,2025-04-20T03:07:33Z,,,,5664991151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",5664991141,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",5664991147,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",5664991145,130,2,5664991139,30,"4o2odluv4usimcdtryht04zjd, 6pqyqf9v6g60ci7jjggalqsq1, 2wj1w4opn7f0jyz1ps6ebvc6i, khvgxqohya7mawca1qx5q590, 16ndalf4kfr7e6rd9mwj7gfmc, 2l6v8ab245wzmb1litvkir1ii, csx9pmpibyblftludnkd6j36x, 2yflerah2shma2hzhm99msez9, bvmqiuxeyjf68mz3jbm6i295h, 1b9b97pxox77ia41cilqqm4iy, chiwsyjdyk4sn4vxqu9mdr0x6, rtercnq9nn7y0814ghe7wo2x, 97rumgrdtahzassy8weq13dyi, 4f03usm5tnljkqleajmz9kmol, cc7auv8d89ohifqg7qwz62mwa, 1rknkp6cfxg6powoea2tttoiy, 441plehxckmdj5gb2mr6y8ne2, 1xpjec3sk3ykvgcg67jkxtzo",5664991149,194,2yflerah2shma2hzhm99msez9,5665089329,197,23268,5664991143,59,"1, 6, 24, 3, 5, 27, 11, 80, 99, 8, 72, 14, 16, 17, 22, 31, 37, 71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500249,2,32,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,0.0,0.0,2025-04-19T23:07:01.162Z,2025-04-19T23:07:02Z,,,,5665093489,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500245,2,32,1,0,0,kfq8fhwnmycbtad1u0fyefx0,1,0.0,0.0,2025-04-19T23:07:01.162Z,2025-04-19T23:07:03Z,,,,5665093471,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500283,3,1,1,0,0,ck22dnk93ng8ax7wonlff7yms,1,49.7,50.0,2025-04-19T23:07:01.163Z,2025-04-19T23:07:06Z,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,5665093663,212,21.8,5665093661,141,49.6,5665093657,56,Back,5665093665,213,3.15,5665093667,279,S,5665093659,140,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500307,4,1,1,0,4,ck22dnk93ng8ax7wonlff7yms,1,31.0,53.0,2025-04-19T23:07:06.109Z,2025-04-19T23:07:50Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,5665093807,140,70.4,5665093805,56,Center,5665093811,212,44.0,5665093809,141,75.1,5665093803,157,,5665093813,213,0.35,5665093815,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500313,5,44,1,0,7,ck22dnk93ng8ax7wonlff7yms,1,64.8,77.0,2025-04-19T23:07:08.761Z,2025-04-20T01:54:47Z,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,,5665093839,286,,5665093837,56,Center,5665093875,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500299,3,44,1,0,7,kfq8fhwnmycbtad1u0fyefx0,0,35.2,23.0,2025-04-19T23:07:08.762Z,2025-04-20T01:54:48Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,5665093737,56,Back,5665093915,233,5,5665093739,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500327,6,1,1,0,8,ck22dnk93ng8ax7wonlff7yms,0,71.2,76.0,2025-04-19T23:07:09.705Z,2025-04-19T23:55:18Z,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,,5665093951,56,Left,5665093959,212,13.9,5665093957,141,95.0,5665093961,213,1.95,5665093953,140,66.3,5665093949,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500335,4,1,1,0,10,kfq8fhwnmycbtad1u0fyefx0,0,30.6,6.5,2025-04-19T23:07:11.968Z,2025-04-19T23:07:13Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,5665093983,213,0.11,5665093985,1,,5665094019,286,,5665093973,157,,5665093981,212,1.8,5665094015,233,7,5665093979,141,6.8,5665094013,236,,5665093977,140,32.3,5665093975,56,Back,,,,,,,,,,,,,,,,,,,,,,,
2803500337,7,74,1,0,10,ck22dnk93ng8ax7wonlff7yms,1,66.6,94.2,2025-04-19T23:07:11.969Z,2025-04-20T01:55:05Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,5665093997,285,,5665094039,233,4,5665093995,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500415,5,5,1,0,12,kfq8fhwnmycbtad1u0fyefx0,1,32.3,-1.6,2025-04-19T23:07:13.375Z,2025-04-20T01:53:37Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,5665094383,56,Back,5665094395,233,8,5665094385,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500347,8,5,1,0,12,ck22dnk93ng8ax7wonlff7yms,0,67.7,101.6,2025-04-19T23:07:13.375Z,2025-04-20T01:53:37Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,5665094409,233,5,5665094065,56,Left,5665094069,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500435,6,1,1,0,19,kfq8fhwnmycbtad1u0fyefx0,1,31.9,0.0,2025-04-19T23:07:20.608Z,2025-04-19T23:07:22Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,5665094505,212,14.8,5665094509,213,2.35,5665094503,141,13.5,5665094499,56,Back,5665094497,107,,5665094501,140,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500467,7,1,1,0,21,kfq8fhwnmycbtad1u0fyefx0,1,20.0,14.7,2025-04-19T23:07:22.544Z,2025-04-19T23:07:25Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,5665094641,213,2.20,5665094633,56,Back,5665094639,212,19.6,5665094635,140,9.0,5665094637,141,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500503,8,1,1,0,24,kfq8fhwnmycbtad1u0fyefx0,1,6.1,35.5,2025-04-19T23:07:25.376Z,2025-04-19T23:07:29Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,5665094831,212,29.4,5665094823,157,,5665094835,1,,5665094829,141,33.7,5665094833,213,6.24,5665094825,56,Back,5665094827,140,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500511,9,1,1,0,28,kfq8fhwnmycbtad1u0fyefx0,0,34.1,33.7,2025-04-19T23:07:29.696Z,2025-04-20T01:12:42Z,5gc4aouty93b7kbin9cpgrdre,A. Søjberg,,5665094851,168,,5665094853,56,Back,5665094861,213,0.15,5665094849,3,,5665094855,140,45.0,5665094857,141,36.3,5665094859,212,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500605,10,1,1,0,30,ck22dnk93ng8ax7wonlff7yms,1,34.3,41.8,2025-04-19T23:07:31.352Z,2025-04-19T23:07:39Z,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,5665095365,140,33.7,5665095367,141,81.4,5665095371,213,1.59,5665095369,212,26.9,5665095363,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500647,11,1,1,0,37,ck22dnk93ng8ax7wonlff7yms,1,33.5,84.4,2025-04-19T23:07:38.929Z,2025-04-19T23:07:41Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,5665095583,213,4.82,5665095581,212,10.1,5665095579,141,69.7,5665095575,56,Back,5665095577,140,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500739,12,1,1,0,40,ck22dnk93ng8ax7wonlff7yms,1,29.8,67.8,2025-04-19T23:07:41.466Z,2025-04-19T23:07:50Z,2l6v8ab245wzmb1litvkir1ii,G. Gibert,,5665096109,141,48.2,5665096107,140,19.2,5665096113,213,4.02,5665096105,56,Back,5665096111,212,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500825,13,1,1,0,51,ck22dnk93ng8ax7wonlff7yms,1,29.2,46.1,2025-04-19T23:07:52.339Z,2025-04-19T23:07:57Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,5665096625,141,69.4,5665096627,212,16.3,5665096631,213,1.33,5665096623,140,32.9,5665096621,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500927,14,1,1,0,56,ck22dnk93ng8ax7wonlff7yms,1,34.9,76.7,2025-04-19T23:07:57.176Z,2025-04-19T23:08:05Z,2l6v8ab245wzmb1litvkir1ii,G. Gibert,,5665097159,56,Back,5665097167,213,0.75,5665097165,212,16.0,5665097161,140,46.1,5665097163,141,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500969,15,1,1,1,3,ck22dnk93ng8ax7wonlff7yms,1,62.7,89.1,2025-04-19T23:08:04.873Z,2025-04-19T23:08:09Z,chiwsyjdyk4sn4vxqu9mdr0x6,Braudílio Rodrigues,,5665097421,140,44.1,5665097419,56,Back,5665097425,141,85.1,5665097429,212,19.7,5665097431,213,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803500995,16,1,1,1,7,ck22dnk93ng8ax7wonlff7yms,1,43.0,84.7,2025-04-19T23:08:08.840Z,2025-04-19T23:08:10Z,2l6v8ab245wzmb1litvkir1ii,G. Gibert,,5665097553,213,4.81,5665097549,141,67.9,5665097551,212,11.5,5665097543,140,44.1,5665097541,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501021,17,1,1,1,9,ck22dnk93ng8ax7wonlff7yms,0,44.6,69.9,2025-04-19T23:08:10.569Z,2025-04-19T23:08:13Z,2yflerah2shma2hzhm99msez9,S. Williams,,5665097693,213,1.71,5665097687,140,41.7,5665097691,212,21.8,5665097685,56,Back,5665097689,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501091,10,5,1,1,12,kfq8fhwnmycbtad1u0fyefx0,1,60.8,-1.4,2025-04-19T23:08:13.374Z,2025-04-20T01:53:37Z,5gc4aouty93b7kbin9cpgrdre,A. Søjberg,,5665098079,347,,5665098131,233,18,5665098077,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501027,18,5,1,1,12,ck22dnk93ng8ax7wonlff7yms,0,39.2,101.4,2025-04-19T23:08:13.374Z,2025-04-20T01:53:38Z,2yflerah2shma2hzhm99msez9,S. Williams,,5665098151,233,10,5665097711,347,,5665097707,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501119,11,1,1,1,18,kfq8fhwnmycbtad1u0fyefx0,1,65.1,0.0,2025-04-19T23:08:20.160Z,2025-04-19T23:08:22Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,5665098235,213,2.47,5665098229,140,57.7,5665098233,212,9.9,5665098231,141,7.7,5665098227,56,Right,5665098225,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501165,12,1,1,1,21,kfq8fhwnmycbtad1u0fyefx0,1,56.8,7.9,2025-04-19T23:08:22.447Z,2025-04-19T23:08:25Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,5665098441,141,20.4,5665098437,56,Back,5665098445,213,2.76,5665098439,140,36.6,5665098443,212,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501217,13,1,1,1,23,kfq8fhwnmycbtad1u0fyefx0,1,36.3,23.7,2025-04-19T23:08:25.048Z,2025-04-19T23:08:28Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,5665098715,212,27.2,5665098717,213,1.91,5665098713,141,61.4,5665098711,140,27.6,5665098709,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501243,14,1,1,1,27,kfq8fhwnmycbtad1u0fyefx0,1,28.7,66.6,2025-04-19T23:08:28.695Z,2025-04-19T23:08:30Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,5665098833,212,5.7,5665098829,140,34.0,5665098831,141,64.9,5665098827,56,Back,5665098835,213,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501297,15,1,1,1,28,kfq8fhwnmycbtad1u0fyefx0,1,34.0,65.1,2025-04-19T23:08:30.110Z,2025-04-19T23:08:34Z,9x7teazvqgbnj3pnam6rf2xgp,W. Fonguck,,5665099105,213,2.45,5665099103,212,9.7,5665099101,141,74.2,5665099097,56,Back,5665099099,140,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501331,16,1,1,1,33,kfq8fhwnmycbtad1u0fyefx0,0,30.2,84.1,2025-04-19T23:08:34.639Z,2025-04-19T23:08:37Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,5665099289,56,Center,5665099293,141,64.9,5665099287,155,,5665099291,140,63.1,5665099295,212,36.9,5665099297,213,5.92,5665099299,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501353,19,1,1,1,36,ck22dnk93ng8ax7wonlff7yms,0,27.1,32.4,2025-04-19T23:08:37.935Z,2025-04-19T23:57:02Z,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,5665099413,56,Back,5665099813,3,,5665099417,141,44.8,5665099415,140,34.8,5665099419,212,11.7,5665099421,213,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803537915,404,44,1,1,38,kfq8fhwnmycbtad1u0fyefx0,1,64.8,58.6,2025-04-19T23:08:39.162Z,2025-04-20T01:54:48Z,5gc4aouty93b7kbin9cpgrdre,A. Søjberg,,5665302463,286,,5665302461,56,Center,5665302511,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501373,20,44,1,1,38,ck22dnk93ng8ax7wonlff7yms,0,35.2,41.4,2025-04-19T23:08:39.163Z,2025-04-20T01:54:49Z,2yflerah2shma2hzhm99msez9,S. Williams,,5665099521,56,Back,5665302537,233,404,5665302165,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803537981,405,1,1,1,38,kfq8fhwnmycbtad1u0fyefx0,1,64.1,64.2,2025-04-19T23:08:39.262Z,2025-04-19T23:57:42Z,5gc4aouty93b7kbin9cpgrdre,A. Søjberg,,5665302879,141,71.7,5665302875,56,Center,5665302877,140,67.4,5665302881,212,6.2,5665302873,3,,5665302883,213,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501465,17,1,1,1,40,kfq8fhwnmycbtad1u0fyefx0,1,69.4,76.1,2025-04-19T23:08:41.366Z,2025-04-20T01:12:44Z,djz5cm1g7ouen2y4o7w35jbl6,L. Ivanovic,,5665099971,213,4.39,5665099969,212,4.6,5665099965,140,68.0,5665099967,141,69.7,5665099963,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501481,18,1,1,1,47,kfq8fhwnmycbtad1u0fyefx0,1,64.9,81.2,2025-04-19T23:08:49.039Z,2025-04-20T01:12:47Z,6d45ccicyo6dregi9cm4ad4kq,I. Paul,,5665100061,213,3.32,5665100053,56,Back,5665100059,212,27.6,5665100057,141,74.1,5665100055,140,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803592333,778,1,1,1,48,kfq8fhwnmycbtad1u0fyefx0,1,70.3,90.8,2025-04-19T23:08:49.162Z,2025-04-20T01:09:00Z,f2nxaemhqi8kbtbejnqekgd4a,J. Garcia,,5665613893,141,85.7,5665613891,140,43.8,5665613889,56,Back,5665613895,212,28.0,5665613897,213,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501501,19,1,1,1,49,kfq8fhwnmycbtad1u0fyefx0,1,38.7,72.3,2025-04-19T23:08:50.703Z,2025-04-19T23:08:52Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,5665100141,212,18.3,5665100139,141,45.4,5665100137,140,37.8,5665100135,56,Back,5665100143,213,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501551,20,1,1,1,50,kfq8fhwnmycbtad1u0fyefx0,1,37.3,41.3,2025-04-19T23:08:52.022Z,2025-04-19T23:08:56Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,5665100417,140,56.3,5665100415,56,Right,5665100419,141,19.7,5665100423,213,5.65,5665100421,212,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501561,21,1,1,1,55,kfq8fhwnmycbtad1u0fyefx0,1,56.3,19.7,2025-04-19T23:08:56.551Z,2025-04-20T01:12:48Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,5665100471,56,Center,5665100473,140,58.7,5665100479,213,0.74,5665100475,141,23.1,5665100477,212,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501571,22,1,1,1,56,kfq8fhwnmycbtad1u0fyefx0,0,58.7,23.1,2025-04-19T23:08:57.326Z,2025-04-20T01:12:51Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,5665100535,212,4.3,5665100537,213,1.30,5665613959,168,,5665100529,56,Center,5665100533,141,29.2,5665100531,140,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501583,22,1,1,1,56,ck22dnk93ng8ax7wonlff7yms,1,35.7,75.1,2025-04-19T23:08:57.495Z,2025-04-19T23:08:58Z,2yflerah2shma2hzhm99msez9,S. Williams,,5665100581,56,Back,5665100583,140,36.7,5665100587,212,10.1,5665100585,141,89.9,5665100589,213,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501637,23,1,1,1,57,ck22dnk93ng8ax7wonlff7yms,1,34.9,90.5,2025-04-19T23:08:58.631Z,2025-04-19T23:09:05Z,2wj1w4opn7f0jyz1ps6ebvc6i,K. Sargeant,,5665100923,56,Back,5665100925,140,44.2,5665100927,141,92.7,5665100929,212,9.9,5665100931,213,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501641,24,1,1,2,3,ck22dnk93ng8ax7wonlff7yms,0,63.6,92.7,2025-04-19T23:09:05.015Z,2025-04-19T23:09:06Z,chiwsyjdyk4sn4vxqu9mdr0x6,Braudílio Rodrigues,,5665100951,140,65.8,5665100957,213,5.65,5665100955,212,2.9,5665100949,56,Left,5665101007,233,23,5665100953,141,90.2,5665101011,286,,5665101005,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501645,23,74,1,2,3,kfq8fhwnmycbtad1u0fyefx0,1,39.3,13.5,2025-04-19T23:09:05.016Z,2025-04-20T01:55:06Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,5665100967,56,Back,5665100969,285,,5665101043,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501667,25,61,1,2,6,ck22dnk93ng8ax7wonlff7yms,1,65.3,94.2,2025-04-19T23:09:07.467Z,2025-04-19T23:09:07Z,chiwsyjdyk4sn4vxqu9mdr0x6,Braudílio Rodrigues,,5665101095,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501683,24,4,1,2,7,kfq8fhwnmycbtad1u0fyefx0,1,36.4,6.4,2025-04-19T23:09:08.445Z,2025-04-19T23:09:14Z,ewibb8s7p2l6f5sekvkqu4a5m,A. Rebollar,,5665101261,265,,5665101277,233,26,5665101259,152,,5665101257,56,Back,5665101255,13,,5665101263,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501679,26,4,1,2,7,ck22dnk93ng8ax7wonlff7yms,0,63.6,93.6,2025-04-19T23:09:08.446Z,2025-04-19T23:09:14Z,chiwsyjdyk4sn4vxqu9mdr0x6,Braudílio Rodrigues,,5665101303,233,24,5665101181,152,,5665101179,56,Left,5665101177,13,,5665101183,265,,5665101185,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501761,25,1,1,2,16,kfq8fhwnmycbtad1u0fyefx0,1,39.2,5.2,2025-04-19T23:09:17.446Z,2025-04-19T23:09:18Z,9ij293r1mbtygl6v3u2s43i3u,M. Lyons,,5665101677,213,2.50,5665101675,212,15.1,5665101669,56,Back,5665101671,140,27.7,5665101673,141,18.5,5665101667,152,,5665101665,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501795,26,1,1,2,17,kfq8fhwnmycbtad1u0fyefx0,1,27.5,18.6,2025-04-19T23:09:18.767Z,2025-04-19T23:09:23Z,1j010cibh247p8kjchww6ny3u,N. Gordon,,5665101935,212,22.6,5665101937,213,2.33,5665101933,141,42.7,5665101929,56,Back,5665101931,140,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501879,27,1,1,2,21,kfq8fhwnmycbtad1u0fyefx0,1,12.4,43.3,2025-04-19T23:09:22.807Z,2025-04-19T23:09:30Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,5665102447,212,14.8,5665102445,141,59.6,5665102439,56,Back,5665102449,213,0.85,5665102443,140,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501887,28,1,1,2,29,kfq8fhwnmycbtad1u0fyefx0,1,27.1,71.2,2025-04-19T23:09:30.502Z,2025-04-19T23:09:31Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,5665102491,213,4.46,5665102485,140,25.3,5665102487,141,60.3,5665102489,212,7.6,5665102483,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501983,29,1,1,2,30,kfq8fhwnmycbtad1u0fyefx0,1,25.3,60.3,2025-04-19T23:09:31.295Z,2025-04-19T23:09:39Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,5665103079,56,Back,5665103087,213,1.73,5665103085,212,8.7,5665103081,140,24.0,5665103083,141,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501993,30,1,1,2,38,kfq8fhwnmycbtad1u0fyefx0,1,28.3,74.5,2025-04-19T23:09:39.768Z,2025-04-19T23:09:40Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,5665103141,141,67.5,5665103143,212,5.9,5665103137,56,Back,5665103145,213,4.08,5665103139,140,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803501999,31,1,1,2,39,kfq8fhwnmycbtad1u0fyefx0,1,24.9,67.5,2025-04-19T23:09:40.399Z,2025-04-19T23:09:41Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,5665103187,140,18.3,5665103193,213,2.13,5665103191,212,13.1,5665103185,56,Back,5665103189,141,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803502047,32,1,1,2,40,kfq8fhwnmycbtad1u0fyefx0,1,18.1,84.2,2025-04-19T23:09:41.334Z,2025-04-19T23:09:44Z,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,,5665103441,213,4.38,5665103431,141,70.6,5665103421,56,Back,5665103427,140,15.1,5665103435,212,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803502101,33,1,1,2,42,kfq8fhwnmycbtad1u0fyefx0,1,3.8,66.6,2025-04-19T23:09:43.863Z,2025-04-19T23:09:48Z,isauuse3yqdwymvfne6ci385,Nico Campuzano,,5665103647,157,,5665103653,140,38.7,5665103661,213,0.09,5665103655,141,71.2,5665103657,212,36.8,5665103663,1,,5665103651,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803502107,34,44,1,2,45,kfq8fhwnmycbtad1u0fyefx0,1,39.4,64.4,2025-04-19T23:09:46.799Z,2025-04-20T01:54:49Z,6d45ccicyo6dregi9cm4ad4kq,I. Paul,,5665103701,285,,5665103739,233,27,5665103699,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
