id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/8/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/15/value
2822657283,5,1,1,0,9,e3k8yw2rbmphyfu5htn4yi5jk,0,23.9,14.9,2025-06-14T23:06:30.282Z,2025-06-15T16:16:10Z,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,,,5771209881,212,38.4,5771209877,140,60.4,5771209873,157,,5771209883,213,0.07,5771209875,56,Right,5771209885,1,,5771209879,141,18.8,5772344625,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657291,7,1,1,0,12,2n3wgr89m7jl8tmioemit2pgq,0,45.5,82.4,2025-06-14T23:06:33.505Z,2025-06-14T23:06:34Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5771209937,141,87.1,5771209931,157,,5771209943,1,,5771209933,56,Left,5771209935,140,61.8,5771209939,212,17.4,5771209941,213,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657297,6,1,1,0,14,e3k8yw2rbmphyfu5htn4yi5jk,0,35.0,22.5,2025-06-14T23:06:35.203Z,2025-06-14T23:06:36Z,dmbqkvvaray373vy9eiq4l1ck,J. Torres,,,5771210007,157,,5771210017,213,1.32,5771210011,140,39.3,5771210013,141,48.8,5771210015,212,18.4,5771210019,1,,5771210009,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657309,8,1,1,0,15,2n3wgr89m7jl8tmioemit2pgq,1,55.3,64.8,2025-06-14T23:06:36.799Z,2025-06-14T23:06:38Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,,5771210073,56,Back,5771210075,140,47.3,5771210079,212,15.4,5771210081,213,4.14,5771210077,141,45.8,5771210071,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657315,9,1,1,0,17,2n3wgr89m7jl8tmioemit2pgq,1,47.3,45.8,2025-06-14T23:06:38.624Z,2025-06-14T23:06:39Z,8qqehla9xvhut6uua4a0zcju2,S. Anderson,,,5771210123,141,51.9,5771210125,212,4.1,5771210127,213,1.57,5771210121,140,47.3,5771210119,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657329,10,1,1,0,18,2n3wgr89m7jl8tmioemit2pgq,1,47.3,51.9,2025-06-14T23:06:39.384Z,2025-06-14T23:06:41Z,7i9qesz7fugndupldntvshwd0,S. Careaga,,,5771210219,212,16.8,5771210213,56,Back,5771210215,140,31.6,5771210221,213,2.93,5771210217,141,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657353,11,1,1,0,20,2n3wgr89m7jl8tmioemit2pgq,1,31.4,56.9,2025-06-14T23:06:41.568Z,2025-06-14T23:06:45Z,984jr9d6sbi5l5vt9ct1b6cph,A. Diz,,,5771210347,213,1.28,5771210339,56,Back,5771210341,140,36.5,5771210345,212,18.7,5771210343,141,83.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657361,12,1,1,0,24,2n3wgr89m7jl8tmioemit2pgq,0,36.5,83.2,2025-06-14T23:06:45.753Z,2025-06-15T16:17:30Z,38ghqgck8fwnxap6em08avzs9,J. Scarlett,,,5771210387,141,72.4,5771210393,1,,5771210389,212,46.7,5771210385,140,80.4,5771210391,213,6.13,5771210383,56,Center,5772347041,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657367,7,61,1,0,26,e3k8yw2rbmphyfu5htn4yi5jk,0,19.5,36.4,2025-06-14T23:06:47.795Z,2025-06-15T01:14:04Z,dw8iyfupgsqkt8ogxssmtss4q,M. Edwards,,,5771210419,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657377,13,15,1,0,28,2n3wgr89m7jl8tmioemit2pgq,1,87.7,61.7,2025-06-14T23:06:49.200Z,2025-06-15T16:19:10Z,5r88subg9jy8zg4y97tzwzxm1,K. Edwards,,,5771210777,230,98.8,5771210461,56,Center,5771210667,20,,5771210767,103,19,5771210457,22,,5771210771,458,,5771210765,102,53.4,5771210673,82,,5772349641,108,5771210785,233,8,5771210775,147,59.9,5771210669,17,5771649201,76,5771210773,146,90.3,5771210779,231,52.0,,,,,,,,,,,,
