,Unnamed: 0,matchInfo/id,matchInfo/coverageLevel,matchInfo/date,matchInfo/time,matchInfo/localDate,matchInfo/localTime,matchInfo/week,matchInfo/numberOfPeriods,matchInfo/periodLength,matchInfo/var,matchInfo/lastUpdated,matchInfo/description,matchInfo/sport/id,matchInfo/sport/name,matchInfo/ruleset/id,matchInfo/ruleset/name,matchInfo/competition/id,matchInfo/competition/name,matchInfo/competition/knownName,matchInfo/competition/competitionCode,matchInfo/competition/competitionFormat,matchInfo/competition/country/id,matchInfo/competition/country/name,matchInfo/tournamentCalendar/id,matchInfo/tournamentCalendar/startDate,matchInfo/tournamentCalendar/endDate,matchInfo/tournamentCalendar/name,matchInfo/stage/id,matchInfo/stage/formatId,matchInfo/stage/startDate,matchInfo/stage/endDate,matchInfo/stage/name,matchInfo/venue/id,matchInfo/venue/neutral,matchInfo/venue/longName,matchInfo/venue/shortName,matchInfo/contestant/0/id,matchInfo/contestant/0/name,matchInfo/contestant/0/shortName,matchInfo/contestant/0/officialName,matchInfo/contestant/0/code,matchInfo/contestant/0/position,matchInfo/contestant/0/country/id,matchInfo/contestant/0/country/name,matchInfo/contestant/1/id,matchInfo/contestant/1/name,matchInfo/contestant/1/shortName,matchInfo/contestant/1/officialName,matchInfo/contestant/1/code,matchInfo/contestant/1/position,matchInfo/contestant/1/country/id,matchInfo/contestant/1/country/name,liveData/matchDetails/periodId,liveData/matchDetails/matchStatus,liveData/matchDetails/winner,liveData/matchDetails/matchLengthMin,liveData/matchDetails/matchLengthSec,liveData/matchDetails/scores/ht/home,liveData/matchDetails/scores/ht/away,liveData/matchDetails/scores/ft/home,liveData/matchDetails/scores/ft/away,liveData/matchDetails/scores/total/home,liveData/matchDetails/scores/total/away,liveData/matchDetailsExtra/attendance,liveData/VAR,liveData/missedPen
38,38,1yeaqwwliff2k4xgnxssswmj8,13,2025-10-26Z,16:00:00Z,2025-10-26,17:00:00,26,2,45,1,2025-05-30T16:22:28Z,Haugesund vs Tromsø,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,9ynnnx1qmkizq1o3qr3v0nsuk,Eliteserien,Norwegian Eliteserien,ELI,Domestic league,7f16iy4w8u8ogyn6pfooqwv5z,Norway,59ghbl9ewb73y9y90c1d8hclw,2025-03-29Z,2025-11-30Z,2025,5a0dxqbhx2m6cs8q6vkm6yzh0,e2q01r9o9jwiq1fls93d1sslx,2025-03-29Z,2025-11-30Z,Regular Season,x044veq9n5nj0vhlpoop5sl,no,Haugesund Sparebank Arena,Haugesund Sparebank Arena,d8w1m5j3jbd1eva8524dv4a20,Haugesund,Haugesund,FK Haugesund,HAU,home,7f16iy4w8u8ogyn6pfooqwv5z,Norway,80hgdmpkvdrhw1ge9nks2kxvy,Tromsø,Tromsø,Tromsø IL,TIL,away,7f16iy4w8u8ogyn6pfooqwv5z,Norway,16,Fixture,,,,,,,,,,,,
39,39,1y0dumh3ew43irwsula4kvytw,13,2025-10-26Z,16:00:00Z,2025-10-26,17:00:00,26,2,45,1,2025-06-05T07:06:54Z,Bodø / Glimt vs Molde,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,9ynnnx1qmkizq1o3qr3v0nsuk,Eliteserien,Norwegian Eliteserien,ELI,Domestic league,7f16iy4w8u8ogyn6pfooqwv5z,Norway,59ghbl9ewb73y9y90c1d8hclw,2025-03-29Z,2025-11-30Z,2025,5a0dxqbhx2m6cs8q6vkm6yzh0,e2q01r9o9jwiq1fls93d1sslx,2025-03-29Z,2025-11-30Z,Regular Season,b6p4a9phtpw6nfzusbejm36ag,no,Aspmyra Stadion,Aspmyra Stadion,ctvzi2jbl1q6xzq0s3sexj73g,Bodø / Glimt,Bodø/Glimt,FK Bodø / Glimt,BOD,home,7f16iy4w8u8ogyn6pfooqwv5z,Norway,45v50owpvshpijizwwlcw4lni,Molde,Molde,Molde FK,MOL,away,7f16iy4w8u8ogyn6pfooqwv5z,Norway,16,Fixture,,,,,,,,,,,,
40,40,1xmo9bo41i4q7ist62ad60ro4,13,2025-10-19Z,15:00:00Z,2025-10-19,17:00:00,25,2,45,1,2025-05-30T16:22:28Z,Tromsø vs Viking,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,9ynnnx1qmkizq1o3qr3v0nsuk,Eliteserien,Norwegian Eliteserien,ELI,Domestic league,7f16iy4w8u8ogyn6pfooqwv5z,Norway,59ghbl9ewb73y9y90c1d8hclw,2025-03-29Z,2025-11-30Z,2025,5a0dxqbhx2m6cs8q6vkm6yzh0,e2q01r9o9jwiq1fls93d1sslx,2025-03-29Z,2025-11-30Z,Regular Season,9w2ds742sq7eqsm1wl4i7pdnq,no,Romssa Arena,Romssa Arena,80hgdmpkvdrhw1ge9nks2kxvy,Tromsø,Tromsø,Tromsø IL,TIL,home,7f16iy4w8u8ogyn6pfooqwv5z,Norway,bsykw9d70ffqe9atosc92n1e9,Viking,Viking,Viking FK,VIK,away,7f16iy4w8u8ogyn6pfooqwv5z,Norway,16,Fixture,,,,,,,,,,,,
41,41,1x8umj2n8p5bybo2kixhnp2xg,13,2025-10-19Z,15:00:00Z,2025-10-19,17:00:00,25,2,45,1,2025-06-13T14:57:14Z,Strømsgodset vs Fredrikstad,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,9ynnnx1qmkizq1o3qr3v0nsuk,Eliteserien,Norwegian Eliteserien,ELI,Domestic league,7f16iy4w8u8ogyn6pfooqwv5z,Norway,59ghbl9ewb73y9y90c1d8hclw,2025-03-29Z,2025-11-30Z,2025,5a0dxqbhx2m6cs8q6vkm6yzh0,e2q01r9o9jwiq1fls93d1sslx,2025-03-29Z,2025-11-30Z,Regular Season,1thaz2k7uj3rxn0k8rxgfbfyp,no,Marienlyst Stadion,Marienlyst Stadion,ew0hpuiweoltpsg5f51r2w64t,Strømsgodset,Strømsgodset,Strømsgodset IF,GOD,home,7f16iy4w8u8ogyn6pfooqwv5z,Norway,e5txudmuc2qpc460bs4lb5aff,Fredrikstad,Fredrikstad,Fredrikstad FK,FFK,away,7f16iy4w8u8ogyn6pfooqwv5z,Norway,16,Fixture,,,,,,,,,,,,
42,42,1wuxytlnsz0q3kxhggkpuos2c,13,2025-10-19Z,15:00:00Z,2025-10-19,17:00:00,25,2,45,1,2025-06-22T15:37:16Z,Sarpsborg 08 vs Bodø / Glimt,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,9ynnnx1qmkizq1o3qr3v0nsuk,Eliteserien,Norwegian Eliteserien,ELI,Domestic league,7f16iy4w8u8ogyn6pfooqwv5z,Norway,59ghbl9ewb73y9y90c1d8hclw,2025-03-29Z,2025-11-30Z,2025,5a0dxqbhx2m6cs8q6vkm6yzh0,e2q01r9o9jwiq1fls93d1sslx,2025-03-29Z,2025-11-30Z,Regular Season,78028q9ppfr0qw4ih6s1o95np,no,Sarpsborg Stadion,Sarpsborg Stadion,doohk95o6e8pkqah8vkop51dg,Sarpsborg 08,Sarpsborg,Sarpsborg 08 FF,S08,home,7f16iy4w8u8ogyn6pfooqwv5z,Norway,ctvzi2jbl1q6xzq0s3sexj73g,Bodø / Glimt,Bodø/Glimt,FK Bodø / Glimt,BOD,away,7f16iy4w8u8ogyn6pfooqwv5z,Norway,16,Fixture,,,,,,,,,,,,
43,43,1wh3nh89ewbet037hrv1ictg4,13,2025-10-19Z,15:00:00Z,2025-10-19,17:00:00,25,2,45,1,2025-05-25T14:24:02Z,Molde vs Sandefjord,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,9ynnnx1qmkizq1o3qr3v0nsuk,Eliteserien,Norwegian Eliteserien,ELI,Domestic league,7f16iy4w8u8ogyn6pfooqwv5z,Norway,59ghbl9ewb73y9y90c1d8hclw,2025-03-29Z,2025-11-30Z,2025,5a0dxqbhx2m6cs8q6vkm6yzh0,e2q01r9o9jwiq1fls93d1sslx,2025-03-29Z,2025-11-30Z,Regular Season,89owlqn6dhxx3iwqc2mttlji8,no,Aker Stadion,Aker Stadion,45v50owpvshpijizwwlcw4lni,Molde,Molde,Molde FK,MOL,home,7f16iy4w8u8ogyn6pfooqwv5z,Norway,btaf9fuj3xctycyjeqwereaow,Sandefjord,Sandefjord,Sandefjord Fotball,SAN,away,7f16iy4w8u8ogyn6pfooqwv5z,Norway,16,Fixture,,,,,,,,,,,,
44,44,1w38oce4ul2wp6ouwu48300lw,13,2025-10-19Z,15:00:00Z,2025-10-19,17:00:00,25,2,45,1,2025-06-22T12:28:55Z,KFUM vs Kristiansund,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,9ynnnx1qmkizq1o3qr3v0nsuk,Eliteserien,Norwegian Eliteserien,ELI,Domestic league,7f16iy4w8u8ogyn6pfooqwv5z,Norway,59ghbl9ewb73y9y90c1d8hclw,2025-03-29Z,2025-11-30Z,2025,5a0dxqbhx2m6cs8q6vkm6yzh0,e2q01r9o9jwiq1fls93d1sslx,2025-03-29Z,2025-11-30Z,Regular Season,9u4qsrteaxamd1v0ei161hv3x,no,KFUM Arena,KFUM Arena,4q0b35m26thti4c2on9a3npk0,KFUM,KFUM,KFUM Fotball,KFU,home,7f16iy4w8u8ogyn6pfooqwv5z,Norway,uqspd1bx7f6mq8ohj50u1k1k,Kristiansund,Kristiansund,Kristiansund BK,KRI,away,7f16iy4w8u8ogyn6pfooqwv5z,Norway,16,Fixture,,,,,,,,,,,,
45,45,1vphn8qm4cohdnt2l6rbn8j6c,13,2025-10-19Z,15:00:00Z,2025-10-19,17:00:00,25,2,45,1,2025-06-22T14:52:37Z,HamKam vs Vålerenga,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,9ynnnx1qmkizq1o3qr3v0nsuk,Eliteserien,Norwegian Eliteserien,ELI,Domestic league,7f16iy4w8u8ogyn6pfooqwv5z,Norway,59ghbl9ewb73y9y90c1d8hclw,2025-03-29Z,2025-11-30Z,2025,5a0dxqbhx2m6cs8q6vkm6yzh0,e2q01r9o9jwiq1fls93d1sslx,2025-03-29Z,2025-11-30Z,Regular Season,1tn8dk1uqsjde41tkbzvii8jm,no,Briskeby Arena,Briskeby Arena,crlocdyqyb1fdhck54qxs65rl,HamKam,HamKam,Hamarkameratene Fotball,HAM,home,7f16iy4w8u8ogyn6pfooqwv5z,Norway,8q6cv8g4bd3xdl7m88kll16na,Vålerenga,Vålerenga,Vålerenga Fotball,VIF,away,7f16iy4w8u8ogyn6pfooqwv5z,Norway,16,Fixture,,,,,,,,,,,,
46,46,1v9zvtt51syk6w6utl5p4ugb8,13,2025-10-19Z,15:00:00Z,2025-10-19,17:00:00,25,2,45,1,2025-06-22T11:20:16Z,Bryne vs Rosenborg,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,9ynnnx1qmkizq1o3qr3v0nsuk,Eliteserien,Norwegian Eliteserien,ELI,Domestic league,7f16iy4w8u8ogyn6pfooqwv5z,Norway,59ghbl9ewb73y9y90c1d8hclw,2025-03-29Z,2025-11-30Z,2025,5a0dxqbhx2m6cs8q6vkm6yzh0,e2q01r9o9jwiq1fls93d1sslx,2025-03-29Z,2025-11-30Z,Regular Season,68ub8x08xhjzslsau2ak2tyjq,no,Bryne Stadion,Bryne Stadion,eujf9nqky8c5jnahb2f76m86o,Bryne,Bryne,Bryne FK,BRY,home,7f16iy4w8u8ogyn6pfooqwv5z,Norway,c7jgkxx1czv5etn7snf1r6p2m,Rosenborg,Rosenborg,Rosenborg BK,RBK,away,7f16iy4w8u8ogyn6pfooqwv5z,Norway,16,Fixture,,,,,,,,,,,,
47,47,1uw10t11bd6klfugnokftnf9w,13,2025-10-19Z,15:00:00Z,2025-10-19,17:00:00,25,2,45,1,2025-06-12T16:48:00Z,Brann vs Haugesund,289u5typ3vp4ifwh5thalohmq,Soccer,79plas4983031idr6vw83nuel,Men,9ynnnx1qmkizq1o3qr3v0nsuk,Eliteserien,Norwegian Eliteserien,ELI,Domestic league,7f16iy4w8u8ogyn6pfooqwv5z,Norway,59ghbl9ewb73y9y90c1d8hclw,2025-03-29Z,2025-11-30Z,2025,5a0dxqbhx2m6cs8q6vkm6yzh0,e2q01r9o9jwiq1fls93d1sslx,2025-03-29Z,2025-11-30Z,Regular Season,cg9bm2t7a8gh6ib7lum3fzgnf,no,Brann Stadion,Brann Stadion,6oxoag5c6zbnn09wx08vz4iak,Brann,Brann,SK Brann,BRA,home,7f16iy4w8u8ogyn6pfooqwv5z,Norway,d8w1m5j3jbd1eva8524dv4a20,Haugesund,Haugesund,FK Haugesund,HAU,away,7f16iy4w8u8ogyn6pfooqwv5z,Norway,16,Fixture,,,,,,,,,,,,
