id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2737170823,860,1,1,0,7,ajtb177oqwawkdwbqhldmq6mx,1,62.6,74.3,2024-10-18T17:00:14.206Z,2024-10-21T17:36:45Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,,,5303086139,56,Left,5303086147,213,0.95,5303086145,212,9.2,5303086141,140,67.7,5303086143,141,85.3,5303086137,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734788973,6,1,1,0,8,ajtb177oqwawkdwbqhldmq6mx,1,65.6,88.9,2024-10-18T17:00:15.266Z,2024-10-18T17:00:16Z,ab3nxxoj7bxlnhot9htoex1xw,G. Højbjerg,,,5290219267,212,11.0,5290219271,213,4.66,5290219261,140,65.0,5290219263,141,72.7,5290219257,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734788981,6,83,1,0,9,7gkglopz9cjsysn2u6sbhuvc5,0,34.0,25.8,2024-10-18T17:00:16.125Z,2024-10-18T17:00:22Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5290219517,399,4a0jmv6qmwn01iuqp1mhnyzth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789005,7,1,1,0,10,ajtb177oqwawkdwbqhldmq6mx,1,65.0,72.7,2024-10-18T17:00:17.131Z,2024-10-21T17:34:51Z,4a0jmv6qmwn01iuqp1mhnyzth,N. Thomsen,,,5290219413,141,92.9,5290219417,213,2.21,5290219411,140,55.3,5290219415,212,17.1,5290219409,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789035,8,1,1,0,12,ajtb177oqwawkdwbqhldmq6mx,1,55.3,92.6,2024-10-18T17:00:18.738Z,2024-10-18T17:00:21Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5290219497,140,37.8,5290219503,213,3.76,5290219501,212,22.5,5290219499,141,73.5,5290219495,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789049,9,1,1,0,14,ajtb177oqwawkdwbqhldmq6mx,0,37.8,73.5,2024-10-18T17:00:21.211Z,2024-10-18T17:07:03Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5290219575,212,69.4,5290219711,1,,5290219567,155,,5290219579,213,5.81,5290219569,56,Center,5290219571,140,96.7,5290219573,141,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789197,8,1,1,0,29,7gkglopz9cjsysn2u6sbhuvc5,1,12.0,60.8,2024-10-18T17:00:35.742Z,2024-10-18T17:00:39Z,64vlnkuqfh7rnymg8qku8amwa,L. Schulz,,,5290220311,213,1.25,5290220307,141,80.5,5290220305,140,16.3,5290220303,56,Back,5290220309,212,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789215,9,1,1,0,33,7gkglopz9cjsysn2u6sbhuvc5,1,16.3,82.6,2024-10-18T17:00:39.510Z,2024-10-18T17:00:41Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5290220419,212,11.6,5290220421,213,0.93,5290220413,56,Back,5290220415,140,22.9,5290220417,141,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789233,10,1,1,0,34,7gkglopz9cjsysn2u6sbhuvc5,1,22.9,96.2,2024-10-18T17:00:41.398Z,2024-10-18T17:00:43Z,bvw5oc4c040ey5dt5wn0choiy,G. Mortensen,,,5290220479,141,89.0,5290220483,213,5.91,5290220475,56,Back,5290220481,212,13.4,5290220477,140,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789239,11,61,1,0,36,7gkglopz9cjsysn2u6sbhuvc5,0,34.8,89.0,2024-10-18T17:00:42.645Z,2024-10-21T17:37:31Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5290220507,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789257,11,1,1,0,38,ajtb177oqwawkdwbqhldmq6mx,1,50.4,14.1,2024-10-18T17:00:45.394Z,2024-10-21T17:37:48Z,egnjbmbxkceiygmp2jty4b47o,O. Jakobsen,,,5290220575,141,35.8,5290220577,212,14.8,5290220579,213,1.56,5290220571,56,Center,5290220573,140,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789273,12,1,1,0,39,ajtb177oqwawkdwbqhldmq6mx,1,50.5,35.8,2024-10-18T17:00:46.178Z,2024-10-21T17:38:08Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5290220655,56,Back,5290220657,140,35.0,5290220661,212,18.2,5290220663,213,2.68,5290220659,141,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789297,13,1,1,0,41,ajtb177oqwawkdwbqhldmq6mx,1,32.8,49.0,2024-10-18T17:00:48.171Z,2024-10-18T17:00:50Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5290220769,141,26.5,5290220773,213,4.73,5290220767,140,33.0,5290220771,212,15.3,5290220763,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789337,14,1,1,0,44,ajtb177oqwawkdwbqhldmq6mx,0,32.6,26.2,2024-10-18T17:00:50.555Z,2024-10-18T17:00:55Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5290221015,155,,5290221025,213,6.09,5290221017,56,Right,5290221027,1,,5290221019,140,83.7,5290221021,141,10.4,5290221023,212,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789349,12,12,1,0,48,7gkglopz9cjsysn2u6sbhuvc5,1,13.1,91.2,2024-10-18T17:00:55.038Z,2024-10-18T17:00:57Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5290221103,167,,5290221071,140,10.7,5290221079,213,1.92,5290221077,212,7.4,5290221067,56,Back,5290221075,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789351,13,5,1,0,49,7gkglopz9cjsysn2u6sbhuvc5,0,12.0,101.4,2024-10-18T17:00:55.863Z,2024-10-18T19:41:42Z,8rn42gm9xm3yunk883yan9vdg,B. Clemmensen,,,5290221093,347,,5290221091,56,Back,5290221701,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789461,15,5,1,0,49,ajtb177oqwawkdwbqhldmq6mx,1,88.0,-1.4,2024-10-18T17:00:55.863Z,2024-10-18T19:41:42Z,2uellcocrvapu7o70g5zdcmad,J. Egeris,,,5290221655,347,,5290221653,56,Right,5290221685,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789495,16,1,1,1,4,ajtb177oqwawkdwbqhldmq6mx,1,85.7,0.0,2024-10-18T17:01:11.354Z,2024-10-18T17:01:15Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5290221847,141,30.4,5290221851,213,1.62,5290221853,1,,5290221845,140,84.7,5290221841,107,,5290221843,56,Center,5290221849,212,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789519,17,1,1,1,8,ajtb177oqwawkdwbqhldmq6mx,1,84.8,30.4,2024-10-18T17:01:14.882Z,2024-10-18T17:01:17Z,5mmgppapbchmcj9zdtyw0w5xw,J. Voldby,,,5290221947,141,34.5,5290221951,213,2.94,5290221939,56,Center,5290221949,212,13.7,5290221943,140,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789515,14,83,1,1,9,7gkglopz9cjsysn2u6sbhuvc5,0,28.0,76.6,2024-10-18T17:01:15.718Z,2024-10-21T17:38:40Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5290222199,399,5u9zrgsm6wycfcbk04m64wd1w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789543,18,1,1,1,10,ajtb177oqwawkdwbqhldmq6mx,1,72.0,34.5,2024-10-18T17:01:16.834Z,2024-10-18T17:01:19Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5290222075,212,16.0,5290222077,213,4.68,5290222069,56,Right,5290222071,140,71.5,5290222073,141,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789553,19,1,1,1,12,ajtb177oqwawkdwbqhldmq6mx,1,71.5,11.0,2024-10-18T17:01:18.746Z,2024-10-18T17:01:20Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5290222107,213,6.09,5290222101,140,77.6,5290222103,141,9.2,5290222105,212,6.5,5290222099,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789575,20,1,1,1,13,ajtb177oqwawkdwbqhldmq6mx,1,77.6,9.2,2024-10-18T17:01:19.762Z,2024-10-18T17:01:21Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5290222185,213,1.90,5290222179,140,75.7,5290222177,56,Right,5290222183,212,6.1,5290222181,141,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789589,21,1,1,1,14,ajtb177oqwawkdwbqhldmq6mx,1,75.7,17.7,2024-10-18T17:01:21.083Z,2024-10-18T17:01:23Z,5u9zrgsm6wycfcbk04m64wd1w,N. Morberg,,,5290222263,141,9.5,5290222261,140,82.2,5290222267,213,5.60,5290222259,56,Right,5290222265,212,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789597,22,1,1,1,16,ajtb177oqwawkdwbqhldmq6mx,0,89.1,5.3,2024-10-18T17:01:23.498Z,2024-10-21T17:39:18Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5290222299,2,,5290222301,155,,5290222303,56,Center,5290222309,212,31.5,5290222311,213,1.48,5290222307,141,51.5,5303094445,224,,5290222305,140,91.8,5303094317,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789629,15,12,1,1,19,7gkglopz9cjsysn2u6sbhuvc5,1,12.0,47.6,2024-10-18T17:01:25.678Z,2024-10-18T17:01:27Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5290222421,213,0.93,5290222417,141,77.5,5290222413,56,Back,5290222445,15,,5290222419,212,25.4,5290222415,140,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789653,16,1,1,1,20,7gkglopz9cjsysn2u6sbhuvc5,0,26.5,77.5,2024-10-18T17:01:27.272Z,2024-10-21T17:42:07Z,5hr1cb6e6xb3eyjnau7w4825l,R. Thellufsen,,,5290222543,213,3.49,5290222541,212,8.9,5290222535,56,Back,5290222539,141,73.0,5290222537,140,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789663,17,43,1,1,21,7gkglopz9cjsysn2u6sbhuvc5,1,0.0,0.0,2024-10-18T17:01:27.845Z,2024-10-21T17:42:16Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5303104485,144,61,5290222581,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789679,23,1,1,1,22,ajtb177oqwawkdwbqhldmq6mx,0,80.0,28.2,2024-10-18T17:01:28.738Z,2024-10-18T17:01:30Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5290222667,141,30.3,5290222671,213,0.11,5290222663,56,Center,5290222669,212,12.5,5290222665,140,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789769,18,3,1,1,27,7gkglopz9cjsysn2u6sbhuvc5,1,10.0,87.2,2024-10-18T17:01:33.694Z,2024-10-21T17:42:44Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,,,5290223081,285,,5303106085,465,,5290223079,56,Back,5290223115,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789761,24,45,1,1,27,ajtb177oqwawkdwbqhldmq6mx,0,90.0,12.8,2024-10-18T17:01:33.694Z,2024-10-18T17:07:11Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5290223045,286,,5290223133,233,18,5290223043,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789879,19,1,1,1,29,7gkglopz9cjsysn2u6sbhuvc5,1,10.5,88.1,2024-10-18T17:01:35.901Z,2024-10-21T17:43:51Z,ef7l91pb4w6yk7lijxjxlievp,M. Greve,1.0,,5290223553,56,Left,5290273595,210,15,5303109595,155,,5290223559,212,66.7,5290223561,213,0.06,5290223557,141,94.2,5290223563,1,,5290223555,140,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789915,20,15,1,1,36,7gkglopz9cjsysn2u6sbhuvc5,1,81.7,70.9,2024-10-18T17:01:43.150Z,2024-10-21T17:44:22Z,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,,,5290273649,147,69.5,5290273151,82,,5290273145,20,,5290273635,29,,5290273643,103,27.8,5290273653,231,52.7,5290272705,18,,5290273647,146,83.0,5290273637,55,19,5290223735,56,Center,5303111189,81,5291201093,23,5290273641,102,46.7,5291069857,233,80,5290273645,215,5290273651,230,98.1,,,,,,,,,,,
2734794945,80,10,1,1,36,ajtb177oqwawkdwbqhldmq6mx,1,15.0,32.5,2024-10-18T17:01:43.250Z,2024-10-18T19:33:50Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5290249639,94,,5290249643,56,Back,5291069893,233,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789927,25,1,1,1,43,ajtb177oqwawkdwbqhldmq6mx,0,2.8,82.6,2024-10-18T17:01:50.211Z,2024-10-18T17:08:23Z,ab3nxxoj7bxlnhot9htoex1xw,G. Højbjerg,,,5290223833,140,19.9,5290223831,56,Back,5290223837,212,21.8,5290223843,1,,5290223841,213,0.60,5290223829,157,,5290223835,141,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790065,21,5,1,1,44,7gkglopz9cjsysn2u6sbhuvc5,1,78.4,-1.1,2024-10-18T17:01:50.606Z,2024-10-18T19:41:43Z,duahzgqspyuy2gu31u3s8ky96,M. Lassen,,,5291067987,233,26,5290224497,347,,5290224495,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734789931,26,5,1,1,44,ajtb177oqwawkdwbqhldmq6mx,0,21.6,101.1,2024-10-18T17:01:50.606Z,2024-10-18T19:41:43Z,ab3nxxoj7bxlnhot9htoex1xw,G. Højbjerg,,,5290223847,347,,5290223845,56,Back,5291068069,233,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790107,22,1,1,1,58,7gkglopz9cjsysn2u6sbhuvc5,1,75.7,0.0,2024-10-18T17:02:04.838Z,2024-10-18T17:09:17Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,,5290224659,141,19.1,5290224653,107,,5290224655,56,Right,5290224663,213,1.18,5290224661,212,15.2,5290224657,140,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790129,23,1,1,2,1,7gkglopz9cjsysn2u6sbhuvc5,1,81.2,19.1,2024-10-18T17:02:08.495Z,2024-10-18T17:03:31Z,egwhlgopjtjkop7ozy7ltk1cl,F. Børsting,,,5290229927,156,,5290224731,140,75.1,5290224733,141,9.2,5290224737,213,3.95,5290224729,56,Right,5290224735,212,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790139,24,1,1,2,2,7gkglopz9cjsysn2u6sbhuvc5,1,75.1,9.2,2024-10-18T17:02:08.798Z,2024-10-21T17:44:55Z,ju24rgwcctj5yizl54o91gfe,S. Borgelin,,,5290224807,212,7.9,5290224803,140,71.4,5290224801,56,Right,5290224809,213,2.08,5290224805,141,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734790165,25,1,1,2,3,7gkglopz9cjsysn2u6sbhuvc5,1,71.4,19.4,2024-10-18T17:02:10.422Z,2024-10-18T17:09:16Z,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,,,5290224917,56,Right,5290224923,140,80.8,5290224931,212,11.4,5290224927,141,10.9,5290224935,213,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
