id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2703403219,7,44,1,0,11,dbl7ir1qugqz8nvp1vzn8im50,0,80.8,67.0,2024-07-26T17:02:19.341Z,2024-07-26T17:09:38Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5117894045,286,,5117894041,56,Center,5117905895,233,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703405053,68,1,1,0,11,8cfkisxf1fkxdqtt6tx1tup48,0,18.5,31.5,2024-07-26T17:02:19.482Z,2024-07-27T23:14:12Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5117906017,56,Back,5117906015,3,,5117906023,212,3.3,5120544113,189,,5117906021,141,26.8,5117906025,213,4.94,5117906019,140,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403223,8,13,1,0,12,dbl7ir1qugqz8nvp1vzn8im50,1,82.8,70.3,2024-07-26T17:02:21.248Z,2024-07-27T21:25:29Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5117896941,103,15.3,5117896945,328,,5117896057,72,,5117896947,458,,5117894071,56,Center,5120541831,18,,5120541833,215,,5117896949,146,84.1,5117894067,22,5117896943,108,5117896937,75,5117896061,153,5117896955,231,51.8,5117896951,147,64.3,5117896953,230,98.2,5117896939,102,21.5,,,,,,,,,,,,
2703403231,4,61,1,0,14,8cfkisxf1fkxdqtt6tx1tup48,1,20.2,41.2,2024-07-26T17:02:23.081Z,2024-07-26T19:08:12Z,74m58jsznzu8l89b8h7rkh1bd,C. Jensen,,,5117894117,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403235,9,1,1,0,14,dbl7ir1qugqz8nvp1vzn8im50,1,86.4,85.0,2024-07-26T17:02:23.200Z,2024-07-26T17:02:25Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5117894143,213,3.24,5117894139,141,83.5,5117894135,56,Left,5117894141,212,10.9,5117894137,140,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403239,10,1,1,0,16,dbl7ir1qugqz8nvp1vzn8im50,1,78.9,86.5,2024-07-26T17:02:25.207Z,2024-07-26T17:02:28Z,2z8u8kyv91shp0la8alkn6kus,M. Ejdum,,,5117894173,140,89.5,5117894179,213,0.52,5117894177,212,12.8,5117894175,141,95.9,5117894171,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403245,11,1,1,0,19,dbl7ir1qugqz8nvp1vzn8im50,0,84.3,94.7,2024-07-26T17:02:28.064Z,2024-07-27T21:25:40Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5117894193,140,89.9,5117894189,155,,5120542185,20,,5120542183,223,,5117894187,2,,5117894195,141,58.2,5117894191,56,Center,5117894201,213,4.95,5117894197,212,,,,,,,,,,,,,,,,,,,25.5,,,,,,,,,,,
2703403255,5,12,1,0,22,8cfkisxf1fkxdqtt6tx1tup48,1,9.2,45.8,2024-07-26T17:02:30.344Z,2024-07-26T19:08:17Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5117894287,213,4.76,5117894279,56,Back,5117894283,141,39.8,5117894285,212,4.1,5117894281,140,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403257,12,15,1,0,23,dbl7ir1qugqz8nvp1vzn8im50,1,91.5,64.9,2024-07-26T17:02:31.591Z,2024-07-26T19:05:59Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5117894449,328,,5117894373,82,,5117894367,72,,5117894443,102,49.7,5117894445,103,19,5117894441,78,,5117894461,233,7,5117894291,22,,5117894295,56,5117894453,146,5117894459,231,5117894457,230,5117894293,64,,5117894451,458,,5117894455,147,61.9,,,,Center,93.2,53.8,98.6,,,,,,,,
2703403269,7,10,1,0,23,8cfkisxf1fkxdqtt6tx1tup48,1,6.8,38.1,2024-07-26T17:02:31.691Z,2024-07-26T19:08:19Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5117894345,94,,5117894347,56,Back,5117894465,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
